Source.Name,ITEM_NAME,ITEM_DESC,ITEM_PRICE
3-Streifen,Chief Beef Sandwich Classic Menu,"Chief Beef Sandwich Classic Menu150 g
with beef patty, caramelized onions, pastrami, BBQ sauce, lettuce, pickles and a side dish of your choice  €12.95  Popular",12.95
3-Streifen,Chicken Supreme Sandwich Classic Menu,"Chicken Supreme Sandwich Classic Menu with pulled chicken, cheese sauce, tomatoes, brazil sauce, chili sauce, lettuce and a side dish of your choice  €11.95  Popular",11.95
3-Streifen,Meat on Meat Sandwich Classic Menu,"Meat on Meat Sandwich Classic Menu with beef sausage strips, sucuk slices, cheese sauce, ketchup, mayonnaise, fried onions, pickles, tomatoes and a side dish of your choice   €11.95",11.95
3-Streifen,Green Garden Sandwich Classic Menu,"Green Garden Sand wich Classic Menuveggie
with onion rings, mozzarella, Miami sauce, cherry mayonnaise, lettuce, tomatoes and a side dish of your choice  €11.95",11.95
3-Streifen,Crispy Gold Sandwich Classic Menu,"Crispy Gold Sandwich Classic Menu with kibbeling, cheese sauce, tartar sauce, mayonnaise, lettuce, pickles, onions and a side dish of your choice  €11.95",11.95
3-Streifen,Chief Beef Sandwich Classic Menu with Lemonade,"Chief Beef Sandwich Classic Menu with Lemonade150 g
with beef patty, caramelized onions, pastrami, BBQ sauce, lettuce, pickles and a side dish of your choice  €12.95",12.95
3-Streifen,Chicken Supreme Sandwich Classic Menu with Lemonade,"Chicken Supreme Sandwich Classic Menu with Lemonadewith pulled chicken, cheese sauce, tomatoes, brazil sauce, chili sauce, lettuce and a side dish of your choice  €11.95",11.95
3-Streifen,Meat on Meat Sandwich Classic Menu with Lemonade,"Meat on Meat Sandwich Classic Menu with Lemonadewith beef sausage strips, sucuk slices, cheese sauce, ketchup, mayonnaise, fried onions, pickles, tomatoes and a side dish of your choice   €11.95",11.95
3-Streifen,Green Garden Sandwich Classic Menu with Lemonade,"Green Garden Sandwich Classic Menu with Lemonadeveggie
with onion rings, mozzarella, Miami sauce, cherry mayonnaise, lettuce, tomatoes and a side dish of your choice  €11.95",11.95
3-Streifen,Crispy Gold Sandwich Classic Menu with Lemonade,"Crispy Gold Sandwich Classic Menu with Lemonadewith kibbeling, cheese sauce, tartar sauce, mayonnaise, lettuce, pickles, onions and a side dish of your choice  €11.80",11.8
3-Streifen,Chief Beef Sandwich Animal Style Menu,"Chief Beef Sandwich Animal Style Menu150 g
with beef patty, caramelized onions, pastrami, BBQ sauce, lettuce, pickles and a poutine of your choice  €16.95  Popular",16.95
3-Streifen,Chicken Supreme Sandwich Animal Style Menu,"Chicken Supreme Sandwich Animal Style Menu with pulled chicken, cheese sauce, tomatoes, brazil sauce, chili sauce, lettuce and a poutine of your choice  €15.95",15.95
3-Streifen,Meat on Meat Sandwich Animal Style Menu,"Meat on Meat Sandwich Animal Style Menu with beef sausage strips, sucuk slices, cheese sauce, ketchup, mayonnaise, fried onions, pickles, tomatoes and a poutine of your choice   €15.95",15.95
3-Streifen,Green Garden Sandwich Animal Style Menu,"Green Garden Sandwich Animal Style Menuveggie
with onion rings, mozzarella, Miami sauce, cherry mayonnaise, lettuce, tomatoes and a poutine of your choice  €15.95",15.95
3-Streifen,Crispy Gold Sandwich Animal Style Menu,"Crispy Gold Sandwich Animal Style Menuwith kibbeling, cheese sauce, tartar sauce, mayonnaise, lettuce, pickles, onions and a poutine of your choice  €15.95",15.95
3-Streifen,Chief Beef Sandwich Animal Style Menu with Lemonade,"Chief Beef Sandwich Animal Style Menu with Lemonade150 g
with beef patty, caramelized onions, pastrami, BBQ sauce, lettuce, pickles and a poutine of your choice  €16.95",16.95
