Restaurant_name,avg_rating
Maindiner,4.8
Via Monte Napoleone,4.3
Elia,4.4
Ristorante Punto e Pasta 1998,4.2
AROMA,4.8
Waxy's Irish Bar,4.7
Le Petit Chef - Frankfurt,3.4
Trattoria i Siciliani,4.5
Restaurant Medici,4.5
Ariston,4.6
MAINKAI CAFE,4.3
African Queen,4.6
Iimori Kaiseki,4.8
The Legacy Bar & Grill,4.6
Im Herzen Afrikas,4.5
Adabina,4.8
Iwase,4.5
Bidlabu – Bistro und Bar,4.5
THE SAKAI,5.0
Thai & Turf - Steakhouse,4.5
Ebbelwoi Unser,4.5
Goc Pho Vietnamese Street Food,4.3
Pizzeria 7 Bello,4.4
Restaurant Namaste India,4.6
Casa Nova Enoteca E Griglia,4.5
Pizzeria Sarita,4.5
Toh-Thong Thai Cuisine,4.4
Kabuki Frankfurt,4.2
Restaurant Francais,4.3
Romer Pils Brunnen,4.5
Kahuna Poke Bros. Frankfurt EAST,4.6
Lohninger,4.4
Best Worscht in Town,4.3
Fichtekraenzi,4.4
Restaurant Sorriso,4.7
Ramen Jun Frankfurt,4.4
Leon - Zum Goldenen Lowen,4.9
Immer Satt,4.6
Muku,4.6
Der Fette Bulle,4.2
Zum Lahmen Esel,4.3
Zum Baeren,4.3
Flavors Frankfurt Airport,4.4
Ristorante Sardegna,4.4
Buffalo Steakhaus,4.3
Gorenshi,4.6
Quattro,4.3
Lafleur,4.5
Paolo,4.3
Zum Storch Am Dom,4.3
Atschel,4.3
Gioia,4.2
Salzkammer,4.4
Zu den 12 Aposteln,4.2
eatDOORI,4.4
Joe Pena's,3.8
Restaurant Ponte,4.6
Ojo de Agua,4.0
Prager Botschaft Restaurant,4.2
Cron am Hafen,4.6
Zum Schwan,4.7
Chi Chi Thai,4.4
Kuli Alma,4.5
Carte Blanche,4.1
Dim Sum House,4.0
Sushimoto,3.7
SAKURA Sushi Cafe,4.7
Villa Lauda,4.6
Zeil Kitchen,3.9
SapOres Sàigòn Street Food,4.0
Megaron,4.2
Kamon Sushi-Bar,3.4
Super Bro's,4.7
Mangetsu,4.2
Restaurant im Hilton Garden Inn Hotel,4.1
L'Unico,4.1
Mania,4.3
The Four Corners Irish Pub,4.5
Thai Wok,4.1
El Pacifico,3.6
La Dolce Vita,4.3
Tasquinha Da Jacinta,4.5
"da vinc, Cucina&vino",4.3
Lohrberg Schanke,4.4
Chicago Meatpackers,3.5
Gennaro's Restaurant,4.3
Casa Rosa,4.2
Jasper's,4.2
Wirtshaus im Ostend,4.4
Pasta e Panini,4.0
Amoroso an der Alten Oper,4.4
Bootshaus,4.6
Frittenwerk,4.0
Ristorante Leon d'Oro,4.2
Shahi Curry,4.6
Ganesha Tandoori,4.4
Bento Boutique,4.2
A Casa di Tomilaia,4.6
Bombay Lounge,4.0
Mosebach,4.4
Signatures Veranda Restaurant,4.0
Zur Sonne,4.5
Alten Limpurg,3.9
Sunny Side Up,4.0
Bombay Palace,3.5
Persia,4.3
Restaurant Buchholz,4.8
Eschenheimer Turm Cafe,4.1
Trattoria Pizzeria 6611,4.2
Pistazie,3.6
Al Terrazzino,3.9
Jesse James,4.1
Borsalino,4.1
Frankfurter Haus,4.1
Kakadu's,3.7
Breeze by lebua,4.4
Gasthaus Zum Lemp,4.3
Onocubes,4.9
Das Leben ist schoen...,3.8
Gute Stute,4.8
Taj Tandoori,3.8
"Bangkok, Thai Restaurant",4.3
Biancalani Cucina,4.4
Bar Shuka Restaurant,3.8
Groessenwahn,4.2
Langosch am Main,3.7
Malepartus,4.5
Antru Lam Freres Vietnam Restaurant,4.2
Bockenheimer Weinkontor,4.2
Black Box Burger,5.0
Zur Buchscheer Apfelweinwirtschaft,4.9
Ristorante Carmelo Greco,3.8
Zum Rad,4.6
Mola,4.2
China Restaurant Yung,4.0
Maingold,4.0
Pizza Bar La Margherita,5.0
Seven Swans,4.0
TNT - Thurn 'n Taxis Palais,4.2
Cafe Chokolino,4.7
Tiger-Gourmetrestaurant,4.4
Tandoori Garden,5.0
Shiso Restaurant,4.0
Grune Sosse und mehr,4.0
Buena Vista,3.7
Demera Restaurant und Bar,4.1
Miraflores,4.1
Restaurant Emma Metzler,4.1
Mr. Lee,4.2
Taj Mahal,3.9
Pizza Pasta Scialpi,3.8
Ginkgo,3.9
Exenberger,4.3
Weinstube im Roemer,4.0
Fennischfuchser,4.1
Tacohaus,4.1
Svea Frankfurt,4.4
