,Restaurant_name,CO2
0,Maindiner,0.0
1,Via Monte Napoleone,0.0
2,Elia,0.0
3,Ristorante Punto e Pasta 1998,0.0
4,AROMA,0.0
5,Waxy's Irish Bar,0.0
6,Le Petit Chef - Frankfurt,0.0
7,Trattoria i Siciliani,0.0
8,Restaurant Medici,0.0
9,Ariston,0.0
10,MAINKAI CAFE,0.0
11,African Queen,0.0
12,Iimori Kaiseki,0.0
13,The Legacy Bar & Grill,0.0
14,Im Herzen Afrikas,0.0
15,Adabina,0.0
16,Iwase,0.0
17,Bidlabu – Bistro und Bar,0.0
18,THE SAKAI,0.0
19,Thai & Turf - Steakhouse,0.0
20,Ebbelwoi Unser,0.0
21,Goc Pho Vietnamese Street Food,0.0
22,Pizzeria 7 Bello,0.0
23,Restaurant Namaste India,0.0
24,Casa Nova Enoteca E Griglia,0.0
25,Pizzeria Sarita,0.0
26,Toh-Thong Thai Cuisine,0.0
27,Kabuki Frankfurt,0.0
28,Restaurant Francais,0.0
29,Romer Pils Brunnen,0.0
30,Kahuna Poke Bros. Frankfurt EAST,0.0
31,Lohninger,0.0
32,Best Worscht in Town,0.0
33,Fichtekraenzi,0.0
34,Restaurant Sorriso,0.0
35,Ramen Jun Frankfurt,0.0
36,Leon - Zum Goldenen Lowen,0.0
37,Immer Satt,0.0
38,Muku,0.0
39,Der Fette Bulle,5.857599999999999
40,Zum Lahmen Esel,0.0
41,Zum Baeren,0.0
42,Flavors Frankfurt Airport,0.0
43,Ristorante Sardegna,0.0
44,Buffalo Steakhaus,0.0
45,Gorenshi,0.0
46,Quattro,0.0
47,Lafleur,0.0
48,Paolo,0.0
49,Zum Storch Am Dom,0.0
50,Atschel,0.0
51,Gioia,1.9552112676056337
52,Salzkammer,0.0
53,Zu den 12 Aposteln,0.0
54,eatDOORI,0.0
55,Joe Pena's,0.0
56,Restaurant Ponte,0.0
57,Ojo de Agua,0.0
58,Prager Botschaft Restaurant,0.0
59,Cron am Hafen,0.0
60,Zum Schwan,0.0
61,Chi Chi Thai,4.872537313432831
62,Kuli Alma,0.0
63,Carte Blanche,0.0
64,Dim Sum House,0.0
65,Sushimoto,0.0
66,SAKURA Sushi Cafe,0.0
67,Villa Lauda,0.0
68,Zeil Kitchen,2.403529411764705
69,SapOres Sàigòn Street Food,0.0
70,Megaron,0.0
71,Kamon Sushi-Bar,11.302500000000006
72,Super Bro's,5.670454545454545
73,Mangetsu,0.0
74,Restaurant im Hilton Garden Inn Hotel,0.0
