User,Rating,Restaurant_name, CO 2 Score,adjust_rating
JurajSembera,5,Maindiner,0.0,5.0
Expedition679472,5,Maindiner,0.0,5.0
808ceydak,5,Maindiner,0.0,5.0
HpTripFood,4,Maindiner,0.0,4.0
W3537HBlaurae,5,Maindiner,0.0,5.0
vincentaskLT,3,Maindiner,0.0,3.0
TheRealGelatoGirl,5,Maindiner,0.0,5.0
MoranY385,4,Maindiner,0.0,4.0
L600ZOdaveg,5,Maindiner,0.0,5.0
KIRST_010101010101,5,Maindiner,0.0,5.0
53Sal,4,Maindiner,0.0,4.0
AlyneVillardi,5,Maindiner,0.0,5.0
everybodyloveslenny,5,Maindiner,0.0,5.0
Michael D,5,Maindiner,0.0,5.0
Lauren N,5,Maindiner,0.0,5.0
kiwiontour34,2,Maindiner,0.0,2.0
billyc8888,5,Maindiner,0.0,5.0
Sindri A,5,Maindiner,0.0,5.0
502Edwin,5,Maindiner,0.0,5.0
Menstream,5,Maindiner,0.0,5.0
thitiwatr,5,Maindiner,0.0,5.0
Guy K,5,Maindiner,0.0,5.0
aaaknazuz2017,5,Maindiner,0.0,5.0
Stephan-1411,5,Maindiner,0.0,5.0
FamilyJSW,5,Maindiner,0.0,5.0
summerrrjoness,5,Maindiner,0.0,5.0
SJB_2016,5,Maindiner,0.0,5.0
jesseu2016,5,Maindiner,0.0,5.0
neviller_11,5,Maindiner,0.0,5.0
Guido v,3,Maindiner,0.0,3.0
Asokhi,5,Maindiner,0.0,5.0
smilee9898,5,Maindiner,0.0,5.0
macbarenlife,5,Maindiner,0.0,5.0
jmoser09,5,Maindiner,0.0,5.0
Rebekah R,4,Maindiner,0.0,4.0
GlobeTrotting796875,5,Maindiner,0.0,5.0
GyuriE,4,Maindiner,0.0,4.0
277dimitarg,3,Maindiner,0.0,3.0
Marta C,5,Maindiner,0.0,5.0
Toniilmo,5,Maindiner,0.0,5.0
AntoniaSig,5,Maindiner,0.0,5.0
BirnaK5,5,Maindiner,0.0,5.0
Wolfgang H,5,Maindiner,0.0,5.0
dannyjagodic,5,Maindiner,0.0,5.0
ulrichn640,5,Maindiner,0.0,5.0
Javiramfer,5,Maindiner,0.0,5.0
724carmellab,5,Maindiner,0.0,5.0
jennab295,5,Maindiner,0.0,5.0
JEC0605,5,Maindiner,0.0,5.0
JoGioIla,5,Maindiner,0.0,5.0
Q5550MUamandan,5,Maindiner,0.0,5.0
belisama_e,5,Maindiner,0.0,5.0
ammarrehman,5,Maindiner,0.0,5.0
40countriesandgoing,4,Maindiner,0.0,4.0
DuncanB676,4,Maindiner,0.0,4.0
Andreas R,5,Maindiner,0.0,5.0
AnneMinne,5,Maindiner,0.0,5.0
Lars S,5,Maindiner,0.0,5.0
ItchyIrishFoot,5,Maindiner,0.0,5.0
wolfvictor,5,Maindiner,0.0,5.0
davemP6335NI,5,Maindiner,0.0,5.0
Philip E,2,Maindiner,0.0,2.0
canbesler,5,Maindiner,0.0,5.0
Ingrid P,5,Maindiner,0.0,5.0
DollLeen,5,Maindiner,0.0,5.0
bigbirdandgrizzly,3,Maindiner,0.0,3.0
torstenj698,5,Maindiner,0.0,5.0
Getaway09182976313,5,Maindiner,0.0,5.0
Fatmafalf,5,Maindiner,0.0,5.0
Topi T,5,Maindiner,0.0,5.0
B8422BVdanielm,5,Maindiner,0.0,5.0
OliverW538,5,Maindiner,0.0,5.0
D501,5,Maindiner,0.0,5.0
Nobuko S,4,Maindiner,0.0,4.0
dijanah,5,Maindiner,0.0,5.0
CaroleF583,5,Maindiner,0.0,5.0
living-in-germany,5,Maindiner,0.0,5.0
